,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,emoji_positive,emoji_neutral,emoji_negative
rest23126,一粥麵,Super Super Congee & Noodle,3.5,5.0,78.0,Shatin,50.0,港式,2,1,0
rest23127,河景餐廳,River View Cafe,3.5,17.0,180.0,Lantau,101.0,粵菜,10,6,0
rest23128,Three Sheets,,,,18.0,Discovery Bay,101.0,多國菜,0,0,0
rest23129,銀咖哩,Gin Curry,3.5,5.0,44.0,Lok Fu,50.0,日本菜,1,1,1
rest23130,潮苑正宗潮洲粉麵,Chiu Yuen Chiu Chow Noodle,3.0,64.0,462.0,Aberdeen,50.0,港式,26,17,10
rest23131,語菓,Fortune Teller,4.0,21.0,561.0,Kowloon Bay,50.0,台灣菜,14,4,2
rest23132,A-1 Bakery & Châteraisé,,3.5,11.0,169.0,Tseung Kwan O,50.0,西式,2,3,0
rest23133,鮨和居食屋,Sushi Kazu Ishoukuya,4.5,109.0,2552.0,Causeway Bay,201.0,日本菜,102,0,1
rest23134,Sonder,,4.0,58.0,1023.0,Tsim Sha Tsui,201.0,西式,48,1,5
rest23135,歇腳亭,sharetea,,,10.0,Wong Tai Sin,50.0,台灣菜,1,0,0
rest23136,花園餐廳 (英皇道),Sweetheart Garden Restaurant (英皇道),3.0,70.0,636.0,North Point,101.0,港式,19,27,13
rest23137,鄉下仔魚蛋粉,,2.5,5.0,31.0,Ma On Shan,50.0,港式,0,1,3
rest23138,混亂 STEAK,Confusion STEAK,3.0,94.0,3518.0,Jordan,101.0,日本菜,27,29,18
rest23139,cookedDeli by city'super,,3.0,39.0,155.0,Kwun Tong,51.0,多國菜,8,13,7
rest23140,Cinco Bar,,,,109.0,Central,101.0,西式,0,0,0
rest23141,陳儀興尚潮樓,Chan Yee Hing Sheung Chiu Lau,4.5,121.0,3288.0,Prince Edward,201.0,潮州菜,111,2,3
rest23142,良景糖水,,,,11.0,Tuen Mun,50.0,港式,0,0,0
rest23143,坤記粥品,,3.0,37.0,187.0,Prince Edward,50.0,港式,11,14,11
rest23144,西龍傳香飯糰智能售賣機,QQ Rice Smart Vending Machine,,,8.0,Chek Lap Kok,50.0,台灣菜,0,0,0
rest23145,雞仔去骨海南雞專門店 (靄華大廈),CHICK & RICE (靄華大廈),4.0,89.0,4159.0,Cheung Sha Wan,50.0,泰國菜,53,13,3
rest23146,天水圍綠田園,Tin Shui Wai Greenfield,2.5,6.0,162.0,Tin Shui Wai,51.0,粵菜,2,2,1
rest23147,御品海南,Royal Products Hainan,,,6.0,Sai Wan,51.0,多國菜,0,0,0
rest23148,海椰中西美食坊,,3.5,8.0,36.0,Yuen long,51.0,港式,4,1,0
rest23149,Leonidas Chocolate Shop,,3.5,18.0,36.0,Central,51.0,比利時菜,14,0,3
rest23150,L.D.K. by Ufufu Café (MOSTown新港城中心),,4.0,34.0,1401.0,Ma On Shan,101.0,日本菜,24,5,1
rest23151,囍八方餃子麵館,Hei Baat Fong,4.5,22.0,789.0,Shum Shui Po,50.0,粵菜,16,0,0
