,name,name2,stars,review_count,bookmarks,district_en,price,cuisine,add_en,emoji_positive,emoji_neutral,emoji_negative
rest5108,No Milkshake No Life,,4.0,183.0,17906.0,Sai Wan,101.0,西式,"Shop A, G/F, 31-37 Hill Road, Shek Tong Tsui, Western District",121,33,3
rest5109,一芳台灣水果茶,Yifang Taiwan Fruit Tea,3.5,54.0,929.0,Causeway Bay,50.0,台灣菜,"Shop 17, 1/F, Fashion Walk, 11-19 Great George Street, Causeway Bay",15,15,5
rest5110,Steam Cafe,,4.0,18.0,901.0,Sheung Wan,51.0,西式,"4/F, Si Toi Commercial Building, 62-63 Queen Street, Sheung Wan",14,0,0
rest5111,美雅餅店,,,,10.0,Aberdeen,50.0,港式,"Shop B, G/F, 2 Tin Wan Street, Aberdeen",0,0,0
rest5112,好彩海鮮酒家,Ho Choi Seafood Restaurant,3.5,63.0,773.0,Sai Wan,101.0,粵菜,"1/F, Yat Chau International Plaza, 118 Connaught R, Sai Ying Pun, Western District",18,13,2
rest5113,營樂餐廳,Ying Lok Restaurant,,,10.0,North Point,51.0,港式,"G/F, 377 King's Road, North Point",1,0,0
rest5114,新九記粥麵,Sun Kau Kee Noodle Shop,4.0,166.0,5147.0,Wan Chai,50.0,粵菜,"G/F, 9 Tai Wong Tung Street, Wan Chai",114,26,6
rest5115,629雞蛋仔,,4.0,6.0,19.0,San Po Kong,50.0,港式,"Shop C, G/F, 73 Tseuk Luk Street, San Po Kong",5,0,0
rest5116,家常麵,Home Noodle,4.5,22.0,370.0,Kwun Tong,50.0,京川滬,"Room 22, 1/F, Shing Yip Industrial Building, 19-21 Shing Yip Street, Kwun Tong",21,0,1
rest5117,沙記乳豬燒臘,,1.5,5.0,81.0,Jordan,50.0,港式,"G/F, 50 Shanghai Street, Jordan",0,0,2
rest5118,PALACE Pacific Place 酒吧,PALACE Pacific Place Wine Bar,,,23.0,Admiralty,51.0,西式,"L1/F, Pacific Place, 88 Queensway Road, Admiralty",0,0,0
rest5119,無肉食 (德興街),Ahimsa buffet (德興街),3.5,90.0,7815.0,Jordan,101.0,港式,"G/F, 8 Tak Hing Street, Jordan",53,20,3
rest5120,Romanne Leisure Food Concept,,4.5,73.0,1422.0,Shum Shui Po,101.0,多國菜,"G/F, 309 Lai Chi Kok Road, Sham Shui Po",69,1,1
rest5121,榮華餅家,Wing Wah,,,2.0,Lok Ma Chau,50.0,港式,"(Paid Area) Shop 302, Lok Ma Chau Station, East Rail Line, Lok Ma Chau",0,0,0
